building_type_id,display_name,property_class,lemma_term,prefab_id,default_opex_usd
city_hall,City Hall,public,government-building,,750000
fire_station,Fire Station,public,fire-station,Assets/Prefabs/Buildings/FireStation.prefab,400000
residential_duplex,Residential Duplex,private,housing-duplex,doc-usc-housing-duplex,120000
church_small,Small Church,religious,church,,90000
corner_store,Corner Store,commercial,retail-corner,,200000
hobby_center,Community Hobby Center,hobby_venue,hobby-venue,,150000
treatment_clinic,Addiction Treatment Clinic,addiction_venue,addiction-treatment,,350000
restaurant,Restaurant,commercial,restaurant,,280000
school,School,public,school,,420000
mall,Mall,commercial,mall,,650000
library,Library,public,library,,310000
prison,Prison,public,prison,,520000
train_station,Train Station,public,train-station,,500000
bus_depot,Bus Depot,public,bus-depot,,320000
